Code,Index,IsTurnedOn,Name,LongName,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,IsFished,IsImpacted,isTAC,GroupType,IsPredator,IsCover,IsSiliconDep,IsAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend
FPL,0,0,Planktiv_L_Fish,Large planktivorous fish,10,1,2,1,3,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FPO,1,0,Planktiv_O_Fish,Other planktivorous fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FPS,2,1,Planktiv_S_Fish,Small planktivorous fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FVD,3,0,Pisciv_D_Fish,Deep piscivorous fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FVV,4,0,Pisciv_V_Fish,Vulnerable piscivorous fish,10,1,2,1,3,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FVS,5,1,Pisciv_S_Fish,Shallow piscivorous fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FVB,6,0,Pisciv_B_Fish,Other piscivorous fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FVT,7,1,Pisciv_T_Fish,Large piscivorous fish (tuna),10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FVO,8,0,Pisciv_O_Fish,Other tuna,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FMM,9,0,Mesopel_M_Fish,Migratory mesopelagics fish ,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FMN,10,0,Mesopel_N_Fish,Non-migratory mesopelagics fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FBP,11,0,Benthopel_Fish,Benthopelagics,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FDD,12,0,Demersal_D_Fish,Deep demersal fish,10,1,2,1,4,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FDE,13,0,Demersal_E_Fish,Shallow demersal fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FDS,14,1,Demersal_S_Fish,Other shallow demersal fish,10,1,2,1,3,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FDM,15,0,Demersal_M_Fish,Other deep demersal fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FDP,16,0,Demersal_P_Fish,Herbivorous demersal fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FDB,17,0,Demersal_B_Fish,Flat deep demersal fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FDC,18,0,Demersal_DC_Fish,Miscellaneous demersal fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FDO,19,0,Demersal_O_Fish,Protected demersal fish,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FDF,20,0,Demersal_F_Fish,Longlived deep demersal fish,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
SHB,21,0,Shark_B,Demersal sharks ,10,1,2,1,6,1,1,1,1,1,1,SHARK,1,0,0,1,0,0,0,0
SHD,22,1,Shark_D,Other demersal sharks,10,1,2,1,3,1,1,1,1,1,1,SHARK,1,0,0,1,0,0,0,0
SHC,23,0,Shark_C,Dogfish,10,1,2,1,6,1,1,1,1,1,1,SHARK,1,0,0,1,0,0,0,0
SHP,24,0,Shark_P,Pelagic sharks,10,1,2,1,4,1,1,1,1,1,1,SHARK,1,0,0,1,0,0,0,0
SHR,25,0,Shark_R,Reef sharks,10,1,2,1,6,1,1,1,1,1,1,SHARK,1,0,0,1,0,0,0,0
SSK,26,0,SkateRay,Skates and rays,10,1,2,1,3,1,1,1,1,1,1,SHARK,1,0,0,1,0,0,0,0
SB,27,1,Seabird,Seabirds,10,1,2,1,4,1,1,1,1,1,1,BIRD,1,0,0,1,0,0,0,0
SP,28,0,Penguin,Penguins,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
PIN,29,1,Pinniped,Pinnipeds,10,1,2,1,2,1,1,1,1,1,1,MAMMAL,1,0,0,1,1,0,0,0
REP,30,0,Reptile,Reptiles,10,1,2,1,2,1,1,1,1,1,1,SHARK,1,0,0,1,0,0,0,0
WHB,31,1,Whale_Baleen,Baleen whales,10,1,2,1,6,1,1,1,1,1,1,MAMMAL,1,0,0,1,0,0,0,0
WHS,32,0,Whale_Small,Small toothed whales,10,1,2,1,5,1,1,1,1,1,1,MAMMAL,1,0,0,1,1,0,0,0
WHT,33,1,Whale_Tooth,Toothed whales ,10,1,2,1,8,1,1,1,1,1,1,MAMMAL,1,0,0,1,1,0,0,0
WDG,34,0,Dugong,Dugongs,10,1,2,1,2,1,1,1,1,1,1,MAMMAL,1,0,0,1,0,0,0,0
CEP,35,0,Cephalopod,Cephalopod,2,1,2,1,1,1,1,1,1,1,1,CEP,1,0,0,1,0,0,0,0
BFS,36,1,Filter_Shallow,Shallow benthic filter feeder,1,1,1,1,1,1,0,0,1,1,1,SED_EP_FF,1,1,0,1,0,0,0,0
BFF,37,1,Filter_Other,Other benthic filter feeder,1,1,1,1,1,1,0,0,1,1,1,SED_EP_FF,1,1,0,1,0,0,0,0
BFD,38,0,Filter_Deep,Deep benthic filter feeder,1,1,1,1,1,1,0,0,1,1,1,SED_EP_FF,1,1,0,1,0,0,0,0
BG,39,1,Benthic_grazer,Benthic grazer,1,1,1,1,1,1,0,0,1,1,1,SED_EP_OTHER,1,0,0,1,0,0,0,0
BMD,40,0,Macrobenth_Deep,Deep macrozoobenthos,1,1,1,1,1,1,0,0,1,1,1,MOB_EP_OTHER,1,0,0,1,0,0,0,0
BML,41,1,Megazoobenthos,Megazoobenthos,1,1,1,1,1,1,1,1,1,1,1,MOB_EP_OTHER,1,0,0,1,0,0,0,0
BMS,42,1,Macrobenth_Shallow,Shallow macrozoobenthos,1,1,1,1,1,1,0,0,1,1,1,MOB_EP_OTHER,1,0,0,1,0,0,0,0
