Time FPS FVS FVT FDS SHD SB PIN WHB WHT BFS BFF BG BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC DIN RelFPS RelFVS RelFVT RelFDS RelSHD RelSB RelPIN RelWHB RelWHT RelBFS RelBFF RelBG RelBML RelBMS RelZL RelBD RelMA RelSG RelBC RelZG RelPL RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 1340.044062 488760.345583 5897.576721 48124.820868 152550.902354 87.263258 536.153360 1384.896738 756.185723 1223.621984 12236.219837 2447.243967 2447.243967 19577.951740 904516.055716 103894.965267 244724.396744 2447.243967 1246739.583208 3746517.328532 3040732.093783 56567449.515743 655168.139075 37485952.278373 374651.732853 2077899.305346 2077899.305346 10389496.526730 41557986.106920 0.000000 2122277142.529551 1.000000 1.000000 1.000000 1.000000 1.000000 1.032002 1.000000 1.013877 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 3.219808 0.240000
1.000000e+00 1340.544681 486411.351748 5896.923070 48128.503390 152517.744741 87.263258 536.153453 1384.896738 756.223127 1223.549080 12235.333376 2445.589401 2447.623615 19577.167458 1020239.276484 103853.440884 244723.495050 2447.225412 1246690.362224 4255763.304431 5149899.068482 58874451.089928 740462.583777 42583981.971356 1582578.224513 2078301.161163 2077894.309344 10401098.587266 41562009.282793 0.000000 4304505611.981485 1.000374 0.995194 0.999889 1.000077 0.999783 1.032002 1.000000 1.013877 1.000049 0.999940 0.999928 0.999324 1.000155 0.999960 1.127939 0.999600 0.999996 0.999992 0.999961 1.135925 1.693638 1.040783 1.130187 1.135998 4.224132 1.000193 0.999998 1.001117 1.000097 1.000000 2.028249 0.000053 0.000000 21.800000 660000000942839808.000000 3.183871 0.060853
2.000000e+00 1341.058802 484692.339314 5896.270408 48132.196659 152484.610509 87.263260 536.155100 1384.896738 756.261425 1223.487302 12234.597472 2443.967605 2447.955111 19576.498956 1020152.955286 103825.618764 244722.717859 2447.209394 1246657.136849 4255842.076281 5152105.126570 60390253.574446 740483.715955 42587823.012568 2687616.850363 2078583.281166 2077890.784876 10412763.062054 41566107.007053 0.000000 4303312638.135878 1.000757 0.991677 0.999779 1.000153 0.999565 1.032002 1.000003 1.013877 1.000100 0.999890 0.999867 0.998661 1.000291 0.999926 1.127844 0.999333 0.999993 0.999986 0.999934 1.135946 1.694363 1.067580 1.130219 1.136101 7.173641 1.000329 0.999996 1.002239 1.000195 1.000000 2.027686 0.000053 0.000000 21.800000 1885655182.529018 3.146964 0.060852
3.000000e+00 1341.577569 483160.200160 5895.618037 48135.890557 152451.499618 87.263261 536.156745 1384.896738 756.299715 1223.425558 12233.862101 2442.348966 2448.286882 19575.830162 1020067.288578 103797.814562 244721.941140 2447.193348 1246623.912382 4255922.047174 5151777.201426 61067896.752339 740505.634317 42592064.133706 4308351.907131 2078877.607836 2077887.261783 10424163.820298 41570207.637582 0.000000 4303113671.376607 1.001144 0.988542 0.999668 1.000230 0.999348 1.032002 1.000006 1.013877 1.000151 0.999839 0.999807 0.998000 1.000426 0.999892 1.127749 0.999065 0.999990 0.999979 0.999907 1.135968 1.694256 1.079559 1.130253 1.136214 11.499618 1.000471 0.999994 1.003337 1.000294 1.000000 2.027593 0.000053 0.000000 21.800000 1885622522.609662 3.109723 0.060852
4.000000e+00 1342.100220 481784.823797 5894.965959 48139.584551 152418.412032 87.263262 536.158387 1384.896738 756.337996 1223.363847 12233.127340 2440.733498 2448.619033 19575.161056 1019982.396103 103770.028114 244721.164879 2447.177270 1246590.689047 4256002.890471 5151084.481547 61365223.751275 740528.146236 42596675.217541 6347472.383693 2079183.981747 2077883.739671 10435227.888296 41574313.699861 0.000000 4303376268.661530 1.001534 0.985728 0.999557 1.000307 0.999132 1.032002 1.000009 1.013877 1.000201 0.999789 0.999747 0.997340 1.000562 0.999857 1.127655 0.998797 0.999987 0.999973 0.999881 1.135989 1.694028 1.084815 1.130287 1.136337 16.942328 1.000618 0.999993 1.004402 1.000393 1.000000 2.027716 0.000053 0.000000 21.800000 1885589872.070725 3.072204 0.060852
5.000000e+00 1342.626738 480542.359366 5894.314175 48143.278456 152385.347714 87.263263 536.160025 1384.896738 756.376268 1223.302169 12232.393206 2439.121202 2448.951584 19574.491637 1019898.254059 103742.259222 244720.389072 2447.161159 1246557.467137 4256084.382877 5150348.640395 61489745.242485 740551.100794 42601594.552523 8555015.861932 2079502.129324 2077880.218019 10445912.340581 41578426.459937 0.000000 4303773208.271732 1.001927 0.983186 0.999447 1.000384 0.998915 1.032002 1.000012 1.013877 1.000252 0.999739 0.999687 0.996681 1.000698 0.999823 1.127562 0.998530 0.999984 0.999966 0.999854 1.136011 1.693786 1.087016 1.130322 1.136468 22.834582 1.000771 0.999991 1.005430 1.000492 1.000000 2.027903 0.000053 0.000000 21.800000 1885557230.777105 3.034407 0.060852
6.000000e+00 1343.156429 479413.652903 5893.662687 48146.971698 152352.306628 87.263264 536.161662 1384.896738 756.414532 1223.240523 12231.659653 2437.512066 2449.284478 19573.821916 1019814.725115 103714.507545 244719.613723 2447.145019 1246524.246370 4256166.327522 5149598.092428 61533649.067268 740574.356768 42606739.123089 10690369.010001 2079831.709516 2077876.697284 10456212.885962 41582545.773439 0.000000 4304153396.527471 1.002323 0.980877 0.999336 1.000460 0.998698 1.032002 1.000015 1.013877 1.000303 0.999688 0.999627 0.996023 1.000834 0.999789 1.127470 0.998263 0.999980 0.999960 0.999827 1.136033 1.693539 1.087793 1.130358 1.136605 28.534151 1.000930 0.999989 1.006422 1.000591 1.000000 2.028083 0.000053 0.000000 21.800000 1885524598.524755 2.996383 0.060852
7.000000e+00 1343.688408 478383.133736 5893.011495 48150.663890 152319.288737 87.263266 536.163295 1384.896738 756.452789 1223.178908 12230.926616 2435.906068 2449.617634 19573.151909 1019731.659608 103686.772704 244718.838844 2447.128850 1246491.026256 4256248.572911 5148837.295084 61543611.606263 740597.818639 42612048.619563 12585824.160926 2080172.362349 2077873.178258 10466156.793339 41586670.486285 0.000000 4304461654.549309 1.002720 0.978768 0.999226 1.000537 0.998482 1.032002 1.000019 1.013877 1.000353 0.999638 0.999567 0.995367 1.000970 0.999755 1.127378 0.997996 0.999977 0.999953 0.999801 1.136055 1.693289 1.087969 1.130394 1.136747 33.593396 1.001094 0.999987 1.007379 1.000690 1.000000 2.028228 0.000053 0.000000 21.800000 1885491975.343709 2.958194 0.060851
8.000000e+00 1344.221915 477438.005509 5892.360601 48154.354436 152286.294004 87.263267 536.164926 1384.896738 756.491038 1223.117325 12230.194035 2434.303191 2449.950985 19572.481629 1019648.941761 103659.054573 244718.064442 2447.112657 1246457.807349 4256331.013153 5148069.282886 61539913.413704 740621.410584 42617468.011136 14184097.442719 2080523.746979 2077869.659988 10475788.729472 41590798.989108 0.000000 4304703869.751264 1.003118 0.976835 0.999116 1.000614 0.998265 1.032002 1.000022 1.013877 1.000404 0.999588 0.999508 0.994712 1.001106 0.999721 1.127287 0.997729 0.999974 0.999946 0.999774 1.136077 1.693036 1.087903 1.130430 1.136892 37.859420 1.001263 0.999986 1.008306 1.000790 1.000000 2.028342 0.000053 0.000000 21.800000 1885459361.371995 2.919895 0.060851
9.000000e+00 1344.756449 476567.648362 5891.710005 48158.043049 152253.322394 87.263268 536.166554 1384.896738 756.529279 1223.055774 12229.461864 2432.703419 2450.284485 19571.811082 1019566.495135 103631.352947 244717.290522 2447.096439 1246424.589686 4256413.579611 5147296.306212 61530695.159951 740645.084888 42622961.766355 15496173.191339 2080885.566692 2077866.142394 10485157.252713 41594929.674078 0.000000 4304897948.590548 1.003517 0.975054 0.999005 1.000690 0.998049 1.032002 1.000025 1.013877 1.000454 0.999537 0.999448 0.994058 1.001242 0.999686 1.127196 0.997463 0.999971 0.999940 0.999747 1.136099 1.692782 1.087740 1.130466 1.137038 41.361541 1.001437 0.999984 1.009207 1.000889 1.000000 2.028433 0.000053 0.000000 21.800000 1885426756.557457 2.881523 0.060851
