Time FPS-0 FVS-0 FVT-0 FDS-0 SHD-0 SB-0 PIN-0 WHB-0 WHT-0
0.000000e+00 1.216909 320044.036219 1892.113500 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
9.000000e+01 1.216909 695057.348631 571.422720 1525.244303 12122.186935 0.010147 14.411991 0.000000 28.956800
1.800000e+02 0.737057 695057.348631 571.422720 1025.464074 12122.186935 0.010147 14.411991 0.000000 28.956800
2.700000e+02 0.737057 695057.348631 571.422720 1025.464074 925.242879 0.010147 14.411991 8.506989 28.956800
3.600000e+02 0.737057 695057.348631 571.422720 1025.464074 925.242879 2.362952 7.098549 8.506989 6.298679
3.650000e+02 0.737057 695057.348631 571.422720 1025.464074 925.242879 2.362952 7.098549 8.506989 6.298679
4.500000e+02 0.737057 67768.573676 571.422720 1025.464074 925.242879 2.362952 7.098549 8.506989 6.298679
5.400000e+02 0.421313 67768.573676 571.422720 436.421944 925.242879 2.362952 7.098549 8.506989 6.298679
6.300000e+02 0.421313 67768.573676 571.422720 436.421944 1075.926568 2.362952 7.098549 8.685056 6.298679
7.200000e+02 0.421313 67768.573676 571.422720 436.421944 1075.926568 5.540557 7.717853 8.685056 6.594292
7.300000e+02 0.421313 67768.573676 571.422720 436.421944 1075.926568 5.540557 7.717853 8.685056 6.594292
8.100000e+02 0.421313 45251.710383 571.422720 436.421944 1075.926568 5.540557 7.717853 8.685056 6.594292
9.000000e+02 0.409759 45251.710383 571.422720 385.623364 1075.926568 5.540557 7.717853 8.685056 6.594292
9.900000e+02 0.409759 45251.710383 571.422720 385.623364 1307.660681 5.540557 7.717853 8.840632 6.594292
1.080000e+03 0.409759 45251.710383 571.422720 385.623364 1307.660681 8.916746 8.480879 8.840632 6.909680
1.095000e+03 0.409759 45251.710383 571.422720 385.623364 1307.660681 8.916746 8.480879 8.840632 6.909680
1.170000e+03 0.409759 150208.985549 571.422720 385.623364 1307.660681 8.916746 8.480879 8.840632 6.909680
1.260000e+03 0.460453 150208.985549 571.422720 380.580781 1307.660681 8.916746 8.480879 8.840632 6.909680
1.350000e+03 0.460453 150208.985549 571.422720 380.580781 1579.061755 8.916746 8.480879 8.976905 6.909680
1.440000e+03 0.460453 150208.985549 571.422720 380.580781 1579.061755 12.727995 9.169958 8.976905 7.246919
1.460000e+03 0.460453 150208.985549 571.422720 380.580781 1579.061755 12.727995 9.169958 8.976905 7.246919
1.530000e+03 0.460453 49735.142548 571.422720 380.580781 1579.061755 12.727995 9.169958 8.976905 7.246919
1.620000e+03 0.505495 49735.142548 571.422720 402.210842 1579.061755 12.727995 9.169958 8.976905 7.246919
1.710000e+03 0.505495 49735.142548 571.422720 402.210842 1890.498522 12.727995 9.169958 9.096451 7.246919
1.800000e+03 0.505495 49735.142548 571.422720 402.210842 1890.498522 16.035782 9.948003 9.096451 7.606563
1.825000e+03 0.505495 49735.142548 571.422720 402.210842 1890.498522 16.035782 9.948003 9.096451 7.606563
1.890000e+03 0.505495 46776.461914 571.422720 402.210842 1890.498522 16.035782 9.948003 9.096451 7.606563
1.980000e+03 0.541966 46776.461914 571.422720 386.299109 1890.498522 16.035782 9.948003 9.096451 7.606563
2.070000e+03 0.541966 46776.461914 571.422720 386.299109 2238.884516 16.035782 9.948003 9.201380 7.606563
2.160000e+03 0.541966 46776.461914 571.422720 386.299109 2238.884516 18.521458 10.704082 9.201380 7.990177
2.190000e+03 0.541966 46776.461914 571.422720 386.299109 2238.884516 18.521458 10.704082 9.201380 7.990177
2.250000e+03 0.541966 84067.376543 571.422720 386.299109 2238.884516 18.521458 10.704082 9.201380 7.990177
2.340000e+03 0.541966 84067.376543 571.422720 373.161837 2238.884516 18.521458 10.704082 9.201380 7.990177
2.430000e+03 0.566538 84067.376543 571.422720 373.161837 2620.664661 18.521458 10.704082 9.293434 7.990177
2.520000e+03 0.566538 84067.376543 571.422720 373.161837 2620.664661 20.189536 11.516921 9.293434 8.396360
2.555000e+03 0.566538 84067.376543 571.422720 373.161837 2620.664661 20.189536 11.516921 9.293434 8.396360
2.610000e+03 0.566538 63038.989059 571.422720 373.161837 2620.664661 20.189536 11.516921 9.293434 8.396360
2.700000e+03 0.566538 63038.989059 571.422720 394.554380 2620.664661 20.189536 11.516921 9.293434 8.396360
2.790000e+03 0.576375 63038.989059 571.422720 394.554380 3035.654963 20.189536 11.516921 9.374070 8.396360
2.880000e+03 0.576375 63038.989059 571.422720 394.554380 3035.654963 21.296901 12.439613 9.374070 8.824508
2.920000e+03 0.576375 63038.989059 571.422720 394.554380 3035.654963 21.296901 12.439613 9.374070 8.824508
2.970000e+03 0.576375 55384.490045 571.422720 394.554380 3035.654963 21.296901 12.439613 9.374070 8.824508
3.060000e+03 0.576375 55384.490045 571.422720 407.780194 3035.654963 21.296901 12.439613 9.374070 8.824508
3.150000e+03 0.576756 55384.490045 571.422720 407.780194 3469.001314 21.296901 12.439613 9.444514 8.824508
3.240000e+03 0.576756 55384.490045 571.422720 407.780194 3469.001314 22.108190 13.400928 9.444514 9.276067
3.285000e+03 0.576756 55384.490045 571.422720 407.780194 3469.001314 22.108190 13.400928 9.444514 9.276067
3.330000e+03 0.576756 67787.966516 571.422720 407.780194 3469.001314 22.108190 13.400928 9.444514 9.276067
3.420000e+03 0.576756 67787.966516 571.422720 416.698465 3469.001314 22.108190 13.400928 9.444514 9.276067
3.510000e+03 0.572899 67787.966516 571.422720 416.698465 3469.001314 22.108190 13.400928 9.505810 9.276067
3.600000e+03 0.572899 67787.966516 571.422720 416.698465 3918.164527 22.529095 14.473497 9.505810 9.749738
3.650000e+03 0.572899 67787.966516 571.422720 416.698465 3918.164527 22.529095 14.473497 9.505810 9.749738
3.690000e+03 0.572899 64784.897088 571.422720 416.698465 3918.164527 22.529095 14.473497 9.505810 9.749738
3.780000e+03 0.572899 64784.897088 571.422720 435.017927 3918.164527 22.529095 14.473497 9.505810 9.749738
3.870000e+03 0.571476 64784.897088 571.422720 435.017927 3918.164527 22.529095 14.473497 9.505810 9.749738
3.960000e+03 0.571476 64784.897088 571.422720 435.017927 4395.921582 22.888633 15.573785 9.558849 10.247214
4.015000e+03 0.571476 64784.897088 571.422720 435.017927 4395.921582 22.888633 15.573785 9.558849 10.247214
4.050000e+03 0.571476 60730.529202 571.422720 435.017927 4395.921582 22.888633 15.573785 9.558849 10.247214
4.140000e+03 0.571476 60730.529202 571.422720 432.430313 4395.921582 22.888633 15.573785 9.558849 10.247214
4.230000e+03 0.569266 60730.529202 571.422720 432.430313 4395.921582 22.888633 15.573785 9.558849 10.247214
4.320000e+03 0.569266 60730.529202 571.422720 432.430313 4864.791443 23.108030 16.790563 9.604389 10.766312
4.380000e+03 0.569266 60730.529202 571.422720 432.430313 4864.791443 23.108030 16.790563 9.604389 10.766312
4.410000e+03 0.569266 64126.318206 571.422720 432.430313 4864.791443 23.108030 16.790563 9.604389 10.766312
4.500000e+03 0.569266 64126.318206 571.422720 426.132360 4864.791443 23.108030 16.790563 9.604389 10.766312
4.590000e+03 0.568859 64126.318206 571.422720 426.132360 4864.791443 23.108030 16.790563 9.604389 10.766312
4.680000e+03 0.568859 64126.318206 571.422720 426.132360 5327.965033 23.306741 16.790563 9.643082 11.308684
4.745000e+03 0.568859 64126.318206 571.422720 426.132360 5327.965033 23.306741 18.021778 9.643082 11.308684
4.770000e+03 0.568859 64176.790099 571.422720 426.132360 5327.965033 23.306741 18.021778 9.643082 11.308684
4.860000e+03 0.568859 64176.790099 571.422720 422.558782 5327.965033 23.306741 18.021778 9.643082 11.308684
4.950000e+03 0.569066 64176.790099 571.422720 422.558782 5327.965033 23.306741 18.021778 9.643082 11.308684
5.040000e+03 0.569066 64176.790099 571.422720 422.558782 5760.665139 23.558494 18.021778 9.675480 11.876365
5.110000e+03 0.569066 64176.790099 571.422720 422.558782 5760.665139 23.558494 19.383368 9.675480 11.876365
5.130000e+03 0.569066 62125.516666 571.422720 422.558782 5760.665139 23.558494 19.383368 9.675480 11.876365
5.220000e+03 0.569066 62125.516666 571.422720 417.727971 5760.665139 23.558494 19.383368 9.675480 11.876365
5.310000e+03 0.568210 62125.516666 571.422720 417.727971 5760.665139 23.558494 19.383368 9.675480 11.876365
5.400000e+03 0.568210 62125.516666 571.422720 417.727971 6169.291949 23.558494 19.383368 9.702058 12.468277
5.475000e+03 0.568210 62125.516666 571.422720 417.727971 6169.291949 23.617085 20.753009 9.702058 12.468277
5.490000e+03 0.568210 62527.451079 571.422720 417.727971 6169.291949 23.617085 20.753009 9.702058 12.468277
5.580000e+03 0.568210 62527.451079 571.422720 411.482919 6169.291949 23.617085 20.753009 9.702058 12.468277
5.670000e+03 0.566585 62527.451079 571.422720 411.482919 6169.291949 23.617085 20.753009 9.702058 12.468277
5.760000e+03 0.566585 62527.451079 571.422720 411.482919 6564.538069 23.617085 20.753009 9.723221 13.087545
5.840000e+03 0.566585 62527.451079 571.422720 411.482919 6564.538069 23.726283 22.275610 9.723221 13.087545
5.850000e+03 0.566585 62527.451079 571.422720 411.482919 6564.538069 23.726283 22.275610 9.723221 13.087545
5.940000e+03 0.566585 63987.137544 571.422720 407.778963 6564.538069 23.726283 22.275610 9.723221 13.087545
6.030000e+03 0.565906 63987.137544 571.422720 407.778963 6564.538069 23.726283 22.275610 9.723221 13.087545
6.120000e+03 0.565906 63987.137544 571.422720 407.778963 6917.920926 23.726283 22.275610 9.739308 13.087545
6.205000e+03 0.565906 63987.137544 571.422720 407.778963 6917.920926 23.789454 23.791101 9.739308 13.731112
6.210000e+03 0.565906 63987.137544 571.422720 407.778963 6917.920926 23.789454 23.791101 9.739308 13.731112
6.300000e+03 0.565906 63301.772488 571.422720 407.778963 6917.920926 23.789454 23.791101 9.739308 13.731112
6.390000e+03 0.565364 63301.772488 571.422720 404.826604 6917.920926 23.789454 23.791101 9.739308 13.731112
6.480000e+03 0.565364 63301.772488 571.422720 404.826604 7242.407191 23.789454 23.791101 9.750607 13.731112
6.570000e+03 0.565364 63301.772488 571.422720 404.826604 7242.407191 23.874034 25.462618 9.750607 14.398234
6.660000e+03 0.565364 62568.981679 571.422720 404.826604 7242.407191 23.874034 25.462618 9.750607 14.398234
6.750000e+03 0.562615 62568.981679 571.422720 403.012550 7242.407191 23.874034 25.462618 9.750607 14.398234
6.840000e+03 0.562615 62568.981679 571.422720 403.012550 7512.384761 23.874034 25.462618 9.757360 14.398234
6.930000e+03 0.562615 62568.981679 571.422720 403.012550 7512.384761 24.040385 27.109186 9.757360 15.089784
6.935000e+03 0.562615 62568.981679 571.422720 403.012550 7512.384761 24.040385 27.109186 9.757360 15.089784
7.020000e+03 0.562615 62911.444876 571.422720 403.012550 7512.384761 24.040385 27.109186 9.757360 15.089784
7.110000e+03 0.561621 62911.444876 571.422720 403.138430 7512.384761 24.040385 27.109186 9.757360 15.089784
7.200000e+03 0.561621 62911.444876 571.422720 403.138430 7747.502367 24.040385 27.109186 9.759769 15.089784
7.290000e+03 0.561621 62911.444876 571.422720 403.138430 7747.502367 24.027865 29.111843 9.759769 15.804811
7.300000e+03 0.561621 62911.444876 571.422720 403.138430 7747.502367 24.027865 29.111843 9.759769 15.804811
7.304500e+03 0.561621 62911.444876 571.422720 403.138430 7747.502367 24.027865 29.111843 9.759769 15.804811
