Time FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BMD BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC DIN RelFPS RelFVS RelFVT RelFDS RelSHD RelSB RelPIN RelWHB RelWHT RelCEP RelBFS RelBFF RelBG RelBMD RelBML RelBMS RelZL RelBD RelMA RelSG RelBC RelZG RelPL RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 134004.406159 73314.051837 11795.153441 72187.231302 15255.090235 1.418640 1072.306719 0.000000 1512.371446 74930.346571 24472.439674 244724.396744 2447.243967 329971.483548 2447.243967 19577.951740 904516.055716 1038949.652673 2447243.967444 2447.243967 1246739.583208 3746517.328532 3040732.093783 56567449.515743 655168.139075 37485952.278373 374651.732853 2077899.305346 2077899.305346 10389496.526730 41557986.106920 0.000000 2122277142.529551 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 -9619.738272 0.240000
3.000000e+01 136142.139861 72863.714036 9339.576337 73295.790249 15369.448458 1.420565 1073.264286 0.000000 1511.529507 80889.405871 24547.094819 244585.718880 2527.109607 329921.498981 2463.159935 19648.894138 1020771.641843 1036911.777103 2446824.208673 2446.746528 1245912.604398 4267733.110482 5122155.082851 61756887.979761 742743.930781 42628511.230712 21466689.472329 2075602.373357 2077712.349134 10643785.826137 41724320.389493 0.000000 4307228373.599000 1.015953 0.993857 0.791815 1.015357 1.007496 1.001357 1.000893 1.000000 0.999443 1.079528 1.003051 0.999433 1.032635 0.999849 1.006504 1.003624 1.128528 0.998039 0.999828 0.999797 0.999337 1.139120 1.684514 1.091739 1.133669 1.137186 57.297718 0.998895 0.999910 1.024476 1.004002 1.000000 2.029532 0.000160 0.000000 22.600000 9.553356 -9773.199187 0.091990
6.000000e+01 138431.642294 73721.910089 9541.605914 74413.896222 15490.637791 1.422607 1073.980172 0.000000 1510.565703 76973.808592 24627.857934 244434.267225 2610.157019 329871.621712 2480.575702 19725.109912 1021222.351129 1034969.183363 2446375.044122 2446.215672 1245095.649799 4280718.143102 5096761.278167 61912695.742887 745380.555387 42675619.206421 21587563.695481 2085159.683230 2077528.076723 10838932.779227 41854564.880806 0.000000 4310014813.953099 1.033038 1.005563 0.808943 1.030846 1.015441 1.002796 1.001561 1.000000 0.998806 1.027271 1.006351 0.998814 1.066570 0.999697 1.013620 1.007517 1.129026 0.996169 0.999645 0.999580 0.998681 1.142586 1.676163 1.094493 1.137694 1.138443 57.620349 1.003494 0.999821 1.043259 1.007137 1.000000 2.030844 0.000152 0.000000 22.600000 9.548724 -9937.555082 0.091979
9.000000e+01 140757.242048 72816.731803 9743.062797 75530.649649 15613.272423 1.424738 1074.648330 0.000000 1509.569553 73337.676055 24709.402665 244277.023831 2695.734465 329821.816507 2498.479648 19802.382203 1021660.100340 1033088.817268 2445915.427888 2445.664186 1244279.408357 4294125.628195 5071286.219832 62207037.732186 748106.989140 42716603.935560 21030423.882746 2102567.621184 2077344.667818 11010593.053395 41968954.411989 0.000000 4313965157.907935 1.050393 0.993217 0.826023 1.046316 1.023480 1.004299 1.002184 1.000000 0.998147 0.978745 1.009683 0.998172 1.101539 0.999546 1.020936 1.011463 1.129510 0.994359 0.999457 0.999354 0.998027 1.146165 1.667785 1.099697 1.141855 1.139536 56.133262 1.011872 0.999733 1.059781 1.009889 1.000000 2.032706 0.000150 0.000000 22.600000 9.544222 -10104.502286 0.091966
1.200000e+02 142275.167651 71008.743031 10305.865425 65199.217007 15738.633082 1.426844 1074.334353 0.000000 1508.604502 124920.740663 24793.020863 244111.273195 2785.140440 329772.080169 2517.181273 19881.955824 1022100.360068 1031261.245809 2445438.210956 2445.089538 1243461.872991 4307358.694329 5045852.637293 62580266.366544 750722.808918 42749304.940648 20392651.967735 2124113.312680 2077161.638073 11166817.508267 42075588.168281 0.000000 4318575410.618405 1.061720 0.968556 0.873737 0.903196 1.031697 1.005783 1.001891 1.000000 0.997509 1.667158 1.013100 0.997495 1.138072 0.999396 1.028578 1.015528 1.129997 0.992600 0.999262 0.999120 0.997371 1.149697 1.659420 1.106295 1.145848 1.140409 54.430956 1.022241 0.999645 1.074818 1.012455 1.000000 2.034878 0.000087 0.000000 22.600000 9.539837 -10213.469204 0.091952
1.500000e+02 143647.670449 69626.128483 10862.633000 67116.268034 15869.727407 1.392235 1074.136669 0.000000 1507.685155 116937.291264 24883.784811 243923.915312 2880.138114 329722.482212 2537.889644 19968.553091 1022435.623023 1029474.552974 2444921.844374 2444.479988 1242639.265314 4320025.361012 5020540.109185 62951519.559740 753088.779795 42775150.650071 19761218.016424 2147369.510199 2076978.284568 11312082.631751 42178560.552112 0.000000 4323080762.456765 1.071962 0.949697 0.920940 0.929753 1.040291 0.981387 1.001707 1.000000 0.996901 1.560613 1.016809 0.996729 1.176890 0.999245 1.037040 1.019951 1.130368 0.990880 0.999051 0.998871 0.996711 1.153078 1.651096 1.112858 1.149459 1.141098 52.745567 1.033433 0.999557 1.088800 1.014933 1.000000 2.037001 0.000086 0.000000 23.000000 9.535569 -10311.996693 0.091933
1.800000e+02 114676.312485 68535.398109 11298.492858 68951.983496 16001.831233 1.394086 1073.910099 0.000000 1506.810129 109686.944350 24972.165533 243734.756872 2978.781195 329672.807744 2558.481658 20053.154883 1022684.762890 1027735.716040 2444402.637466 2443.857271 1241815.856184 4331831.288224 4995479.188568 63251542.448340 755146.691625 42796343.732706 19150250.276987 2170978.257926 2076795.374983 11449131.274948 42280125.555001 0.000000 4326747040.277987 0.855765 0.934819 0.957893 0.955183 1.048950 0.982692 1.001495 1.000000 0.996323 1.463852 1.020420 0.995956 1.217198 0.999095 1.045454 1.024272 1.130643 0.989206 0.998839 0.998616 0.996051 1.156229 1.642854 1.118161 1.152600 1.141664 51.114805 1.044795 0.999469 1.101991 1.017377 1.000000 2.038729 0.000085 0.000000 22.800000 9.531400 -8232.237609 0.091913
2.100000e+02 110903.286618 67660.119413 11685.485439 70387.704833 16133.335335 1.395545 1073.265794 0.000000 1505.987648 103168.040410 25056.048834 243549.478767 3080.235952 329623.099598 2578.429652 20133.740576 1022663.699403 1026049.121158 2443889.958201 2443.226449 1240994.530531 4342852.960909 4970582.703121 63410717.558886 756914.337148 42813509.938201 18563261.035423 2194285.090628 2076613.469000 11579497.158002 42381505.190401 0.000000 4329054024.628041 0.827609 0.922881 0.990702 0.975071 1.057571 0.983720 1.000894 1.000000 0.995779 1.376853 1.023848 0.995199 1.258655 0.998944 1.053605 1.028389 1.130620 0.987583 0.998629 0.998358 0.995392 1.159171 1.634666 1.120975 1.155298 1.142121 49.548045 1.056011 0.999381 1.114539 1.019816 1.000000 2.039816 0.000084 0.000000 23.000000 9.527335 -7961.384415 0.091892
2.400000e+02 113772.675524 66911.739274 12063.090253 71810.533166 14560.718084 1.396964 1072.556244 0.000000 1505.180508 97231.778045 25139.012909 243360.534842 3184.194969 329573.376859 2598.580439 20213.901134 1022623.655177 1024410.525332 2443371.256997 2442.578477 1240174.200462 4353702.129348 4946010.746589 63491310.589772 758617.190996 42828568.406972 17997969.228827 2216984.071914 2076432.309685 11703886.473977 42483115.023086 0.000000 4330664261.634521 0.849022 0.912673 1.022716 0.994782 0.954483 0.984720 1.000233 1.000000 0.995245 1.297629 1.027238 0.994427 1.301135 0.998794 1.061840 1.032483 1.130575 0.986006 0.998418 0.998094 0.994734 1.162066 1.626586 1.122400 1.157897 1.142523 48.039199 1.066935 0.999294 1.126511 1.022261 1.000000 2.040574 0.000094 0.000000 23.000000 9.523370 -8167.368465 0.091869
2.700000e+02 116530.402914 66269.065891 12431.528279 73215.326752 14694.351336 1.398343 1045.315997 0.000000 1502.219947 91795.780295 25218.533364 243174.289028 3289.816177 329523.684661 2618.282062 20291.048209 1022640.746497 1022824.291856 2442858.274406 2441.923779 1239357.871220 4364496.301182 4921828.596922 63581984.095681 760306.428170 42841735.908558 17452733.524098 2238932.379316 2076252.523462 11822928.012864 42585304.895393 0.000000 4332216426.328240 0.869601 0.903907 1.053952 1.014242 0.963243 0.985693 0.974829 1.000000 0.993288 1.225081 1.030487 0.993666 1.344294 0.998643 1.069890 1.036423 1.130594 0.984479 0.998208 0.997826 0.994079 1.164948 1.618633 1.124003 1.160475 1.142874 46.583886 1.077498 0.999207 1.137969 1.024720 1.000000 2.041306 0.000090 0.000000 23.600000 9.519509 -8365.336700 0.091845
