ParName   Value   Gradient
MGparm[4]     0.273518 -5.05594e-05
SR_parm[1]      17.9046 -4.27825e-05
recdev1(30)     -0.19124  1.01476e-07
recdev1(31)   -0.0851276 -7.61453e-06
recdev1(32)    -0.144143  1.22152e-06
recdev1(33)    -0.207728  4.26918e-06
recdev1(34)    -0.148324 -5.10683e-06
recdev1(35)    -0.193054  -5.9259e-06
recdev1(36)    -0.126798  5.94445e-07
recdev1(37)   -0.0532383 -4.01272e-06
recdev1(38)    -0.264361 -2.51026e-06
recdev1(39)   -0.0323929 -4.81767e-06
recdev1(40)   -0.0794057 -3.72904e-06
recdev1(41)   -0.0544705 -3.70714e-06
recdev1(42)   -0.0598098 -6.09966e-07
recdev1(43)   -0.0290137 -1.37964e-07
recdev1(44)    -0.221901  3.60205e-06
recdev1(45)   -0.0513485   1.6365e-06
recdev1(46)    -0.138455  7.55721e-06
recdev1(47)   -0.0434348  7.12469e-06
recdev1(48)    -0.231336  7.72269e-06
recdev1(49)    -0.122087   2.6102e-06
recdev1(50)    -0.175286  6.51945e-06
recdev1(51)   -0.0685261  4.69461e-06
recdev1(52)    0.0122099  2.46566e-06
recdev1(53)   -0.0485063 -1.77542e-06
recdev1(54)   -0.0460375  9.10732e-07
recdev1(55)  -0.00407434 -1.25416e-06
recdev1(56)    0.0743301 -6.29042e-06
recdev1(57)    0.0462257 -2.16126e-06
recdev1(58)    0.0888493 -3.83353e-06
recdev1(59)    0.0530544 -5.13539e-06
recdev1(60)   -0.0165667 -1.78371e-06
recdev1(61)     0.146968 -1.79307e-06
recdev1(62)    0.0700883 -3.04235e-06
recdev1(63)    0.0087041 -2.32887e-06
recdev1(64)   -0.0117112 -2.56347e-06
recdev1(65)    0.0187274  1.67441e-07
recdev1(66)     0.127487 -3.14503e-06
recdev1(67)     0.103819  3.18472e-07
recdev1(68)   0.00897398  1.24597e-06
recdev1(69)   0.00898412  1.38761e-06
recdev1(70)     0.138628  2.09245e-06
recdev1(71)     0.164971 -2.11723e-07
recdev1(72)     0.178582  2.79507e-06
recdev1(73)    0.0255757  3.95434e-06
recdev1(74)     0.135717  5.00213e-06
recdev1(75)     0.144101   -1.096e-06
recdev1(76)     0.305629  2.30298e-06
recdev1(77)     0.355896  1.74526e-06
recdev1(78)      0.19634  1.99964e-06
recdev1(79)     0.434516  5.20149e-07
Fcast_recruitments(80)            0            0
selparm[1]      2.08705 -1.38525e-05
selparm[2]      1.23101  1.40722e-05
