Code,Index,IsTurnedOn,Name,LongName,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,IsFished,IsImpacted,isTAC,GroupType,IsPredator,IsCover,IsSiliconDep,IsAssessed,IsCatchGrazer,OverWinters,isCultured,isHabDepend
FDP,0,1,Demersal_P_Fish,Dover sole,10,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1
FPO,1,1,Planktiv_O_Fish,Canary rockfish,10,1,2,1,8,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
FVV,2,1,Pisciv_V_Fish,Shortbelly rockfish,10,1,2,1,2,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
SHC,3,1,Shark_C,Cowcod,10,1,2,1,6,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1
YEL,4,1,Yelloweye_rockfish,Yelloweye rockfish,10,1,2,1,12,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1
FBP,5,1,Benthopel_Fish,Myctophids,10,1,2,1,1,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
FDD,6,1,Demersal_D_Fish,Deep demersal fish,10,1,2,1,4,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
FDC,7,1,Demersal_DC_Fish,Deep small rockfish,10,1,2,1,8,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
FDO,8,1,Demersal_O_Fish,Deep large rockfish,10,1,2,1,9,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
DAR,9,1,Darkblotched_rockfish,Darkblotched rockfish,10,1,2,1,9,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1
FDF,10,1,Demersal_F_Fish,Small flatfish,10,1,2,1,2,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1
FDE,11,1,Demersal_E_Fish,Shallow miscellaneous fish,10,1,2,1,2,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
FDS,12,1,Demersal_S_Fish,Midwater rockfish,10,1,2,1,6,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
BOC,13,1,Bocaccio_rockfish,Bocaccio,10,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1
POP,14,1,Pacific_Ocean_Perch,Pacific Ocean perch,10,1,2,1,10,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
FDB,15,1,Demersal_B_Fish,Shallow small rockfish,10,1,2,1,5,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1
SHR,16,1,Shark_R,Shallow large rockfish,10,1,2,1,4,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1
FMM,17,1,Mesopel_M_Fish,Pacific hake,10,1,2,1,2,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
FMN,18,1,Mesopel_N_Fish,Sablefish,10,1,2,1,9,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
FVD,19,1,Pisciv_D_Fish,Large piscivorous flatfish,10,1,2,1,3,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1
ARR,20,1,Arrowtooth_flounder,Arrowtooth flounder,10,1,2,1,3,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1
PET,21,1,Petrale_sole,Petrale sole,10,1,2,1,3,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,1
FVS,22,1,Pisciv_S_Fish,Large demersal predators,10,1,2,1,2,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
FVT,23,1,Pisciv_T_Fish,Large pelagic predators,10,1,2,1,1,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
FPL,24,1,Planktiv_L_Fish,Mackerel,10,1,2,1,1,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
JAC,25,1,Jack_mackerel,Jack mackerel,10,1,2,1,3,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
FPS,26,1,Planktiv_S_Fish,Small planktivorous fish,10,1,2,1,1,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
SAR,27,1,Pacific_sardine,Sardines,10,1,2,1,1,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
ANC,28,1,Anchovy,Anchovies,10,1,2,1,1,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
HER,29,1,Herring,Pacific herring,10,1,2,1,1,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
FVB,30,1,Pisciv_B_Fish,Chinook salmon,10,1,2,1,1,1,1,1,1,1,0,FISH,1,0,0,0,0,0,0,0
SHD,31,1,Shark_D,Demersal sharks,10,1,2,1,3,1,1,1,1,1,0,SHARK,1,0,0,0,0,0,0,0
SHB,32,1,Shark_B,Small demersal sharks,10,1,2,1,1,1,1,1,1,1,0,SHARK,1,0,0,0,0,0,0,0
DOG,33,1,Spiny_dogfish,Spiny dogfish,10,1,2,1,6,1,1,1,1,1,0,SHARK,1,0,0,0,0,0,0,0
SHP,34,1,Shark_P,Pelagic sharks,10,1,2,1,3,1,1,1,1,1,0,SHARK,1,0,0,0,0,0,0,0
SSK,35,1,SkateRay,Skates and rays,10,1,2,1,2,1,1,1,1,1,0,SHARK,1,0,0,0,0,0,0,1
