Time FDP FPO FVV SHC YEL FBP FDD FDC FDO DAR FDF FDE FDS BOC POP FDB SHR FMM FMN FVD ARR PET FVS FVT FPL JAC FPS SAR ANC HER FVB SHD SHB DOG SHP SSK PIN CSL HSL REP WHB GRA WHT ORC WHS WDG FVO SB SP BC BD TCR BCR BFD SCR BFS BFF BG NUR PSP PWN BMD BMS BML DUN CEP MSQ HSQ ZG ZL ZM PTE ZS PL PS SG MA MB COC BB PB BO DC DL DR DIN RelFDP RelFPO RelFVV RelSHC RelYEL RelFBP RelFDD RelFDC RelFDO RelDAR RelFDF RelFDE RelFDS RelBOC RelPOP RelFDB RelSHR RelFMM RelFMN RelFVD RelARR RelPET RelFVS RelFVT RelFPL RelJAC RelFPS RelSAR RelANC RelHER RelFVB RelSHD RelSHB RelDOG RelSHP RelSSK RelPIN RelCSL RelHSL RelREP RelWHB RelGRA RelWHT RelORC RelWHS RelWDG RelFVO RelSB RelSP RelBC RelBD RelTCR RelBCR RelBFD RelSCR RelBFS RelBFF RelBG RelNUR RelPSP RelPWN RelBMD RelBMS RelBML RelDUN RelCEP RelMSQ RelHSQ RelZG RelZL RelZM RelPTE RelZS RelPL RelPS RelSG RelMA RelMB RelCOC RelBB RelPB RelBO RelDC RelDL RelDR RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+000 931171.595365 19993.769956 108800.004210 4322.073568 2968.001597 33494998.901600 160190.338477 218247.357381 357293.207519 20600.114035 146775.285362 41908.622492 441833.399811 17672.934086 30481.997518 61335.998002 59143.772522 3868389.950692 270662.231754 55908.665016 103913.525881 23723.664679 96090.942514 166819.810374 211125.999671 389000.009296 387387.519520 530885.744437 195017.935514 200055.298028 17999.922001 2199.633299 57040.180105 375987.983618 48717.568966 121530.217765 56218.185334 50985.540569 5908.916757 817.686633 689982.732778 294433.567748 32327.440531 581.834212 62900.834275 203.506947 1454.246773 1600.081040 729.164257 290429.492499 940406.568855 1200.908151 5.308871 1928681.128490 1666.548194 635810.704288 990018.515884 1204105.443197 22000.784002 129305.021002 84936.248090 92315.052430 6745.565880 21959.032774 92090.834339 105963.904396 420044.358410 90115.181631 707001.616824 18115537.974877 19462453.837679 40205.264419 31599948.053218 125037314.181389 28415797.389220 165670.476446 815553.212052 33085.654044 13418577.428176 15230571.671105 3188505.501715 152.305717 152305.716711 3046114.334221 3046114.334221 895071550.422694 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 -2146086.339048 1.838649
3.650000e+002 859035.304219 17258.147506 150619.341829 3909.786624 2535.287114 28325469.928486 148247.617591 187341.311428 323131.113373 19351.755502 157264.453800 46404.234228 436526.735612 15271.960163 28219.225183 56636.189842 49514.372092 3371450.903508 235158.064110 51547.260723 89335.705029 23140.085635 84179.590480 149373.526312 208057.229935 354060.102740 426682.797606 571216.873463 359371.285307 198806.247643 16549.007740 2064.085034 48109.489374 364073.130030 41918.178444 110619.001009 43384.127540 47051.274966 4717.462088 750.442521 678382.786033 268204.713996 29870.795688 558.784369 58385.405377 123.059071 747.210939 1448.041574 745.165614 293149.082516 932784.330681 1153.600514 5.299567 1066828.294581 1290.036051 325622.451826 990432.313187 1428371.020369 3905.683668 94336.031495 84819.608493 10071.379702 229514.215336 47217.676638 97644.317266 133809.867988 365174.555575 87491.114808 780119.205616 20688230.216480 50962625.685768 61500.813971 32634030.669156 100218993.209744 36695034.306240 311091.245444 6501431.033368 51466.906366 17934723.723439 14998132.855135 3211565.749393 150.999313 0.000000 3552269.140956 6314085.421306 960631798.525703 0.922532 0.863176 1.384369 0.904609 0.854207 0.845663 0.925447 0.858390 0.904386 0.939400 1.071464 1.107272 0.987989 0.864144 0.925767 0.923376 0.837187 0.871539 0.868825 0.921991 0.859712 0.975401 0.876041 0.895418 0.985465 0.910180 1.101437 1.075970 1.842760 0.993756 0.919393 0.938377 0.843432 0.968311 0.860432 0.910218 0.771710 0.922836 0.798363 0.917763 0.983188 0.910918 0.924007 0.960384 0.928214 0.604692 0.513813 0.904980 1.021945 1.009364 0.991895 0.960607 0.998248 0.553139 0.774077 0.512137 1.000418 1.186251 0.177525 0.729562 0.998627 0.109098 34.024457 2.150262 1.060304 1.262787 0.869371 0.970881 1.103419 1.142016 2.618510 1.529671 1.032724 0.801513 1.291360 1.877771 7.971805 1.555566 1.336559 0.984739 1.007232 0.991422 0.000000 1.166164 2.072833 1.073246 0.189775 1.241398 58.424658 15.539157 -1808657.423778 2.206175
7.300000e+002 878353.140857 17191.451496 242593.931227 3935.480064 2512.360442 26778107.741637 145076.996989 184170.421679 325678.342173 19285.829981 167168.146177 57528.573637 434312.470258 15280.122945 28223.155488 57122.186464 47266.313256 3420748.060637 250404.925790 51504.190034 88458.655392 23054.482803 83432.357690 117179.687363 259385.944522 363938.462944 583367.107078 699191.459304 693655.540820 246026.508558 70331.696784 3381.082785 46113.281887 365211.023037 40081.002241 109693.316651 54343.140317 68690.523869 5240.041559 824.982519 727433.400477 332294.583783 31436.782723 585.158820 60390.630919 186.010411 653.161935 2232.933257 1314.015630 295821.714705 953908.868126 1131.249021 5.295602 766430.343352 1152.119687 230181.057606 992914.156830 1433776.033293 141966.569104 67238.835530 84917.673774 4521.796186 243209.491357 46892.547762 130932.051194 177468.671369 369398.193101 84953.670378 779840.133248 19124701.354111 58867290.861657 85853.050974 33029790.148438 86863482.181352 37761277.753457 444332.667983 9183404.142576 1481457.446090 15152140.415658 14808085.532899 3014399.276248 153.328371 0.000000 3957320.440637 8581125.967965 1039660115.526304 0.943277 0.859840 2.229724 0.910554 0.846482 0.799466 0.905654 0.843861 0.911516 0.936200 1.138939 1.372714 0.982978 0.864606 0.925896 0.931300 0.799177 0.884282 0.925157 0.921220 0.851272 0.971793 0.868265 0.702433 1.228584 0.935574 1.505901 1.317028 3.556881 1.229793 3.907333 1.537112 0.808435 0.971337 0.822722 0.902601 0.966647 1.347255 0.886802 1.008923 1.054278 1.128589 0.972449 1.005714 0.960093 0.914025 0.449141 1.395513 1.802085 1.018566 1.014358 0.941995 0.997501 0.397386 0.691321 0.362028 1.002925 1.190740 6.452796 0.520002 0.999781 0.048982 36.054720 2.135456 1.421771 1.674803 0.879427 0.942723 1.103025 1.055707 3.024659 2.135368 1.045248 0.694700 1.328883 2.682027 11.260337 44.776429 1.129191 0.972261 0.945396 1.006714 0.000000 1.299137 2.817073 1.161539 0.240065 1.784651 58.424658 15.554945 -1704220.965441 4.191364
1.095000e+003 900167.843015 17046.074649 349641.446588 3967.721054 2508.768765 25121417.385402 142701.675613 183012.529169 328024.370506 19255.950593 184843.566311 142372.092402 432402.171017 15368.730145 28232.643325 58303.772662 46141.686251 3498040.178426 248026.907421 51979.568362 88300.594512 22964.213725 82374.897273 100017.947066 345438.891368 374960.426832 788917.827690 896518.771736 1037078.024073 322818.451356 70301.895283 3742.017964 42938.650940 366455.622599 38542.007528 108656.534511 55876.395736 76417.633929 5473.085786 898.940905 769594.489511 378269.275061 32995.166504 607.010224 63301.085545 188.903157 651.104244 2417.496549 1424.938584 302815.553465 3513436.537212 1135.558776 5.298939 613925.572310 1074.389339 184584.025463 998036.743121 1433696.513998 141296.348182 48748.316443 86977.682678 19818.446544 296523.975811 43564.553855 121344.978376 239131.479634 372556.690618 82524.101505 766564.675126 17261226.074236 64102670.404321 120218.442320 33048803.306682 76047409.820597 39509735.390273 594215.256320 12744842.403598 9037041.723521 13278440.195822 14630399.566834 2916440.465697 649.818145 0.000000 4343141.133940 11543741.486209 1103305262.062742 0.966705 0.852569 3.213616 0.918013 0.845272 0.750005 0.890826 0.838556 0.918082 0.934750 1.259364 3.397203 0.978654 0.869620 0.926207 0.950564 0.780161 0.904263 0.916371 0.929723 0.849751 0.967988 0.857260 0.599557 1.636174 0.963909 2.036508 1.688723 5.317860 1.613646 3.905678 1.701201 0.752779 0.974647 0.791132 0.894070 0.993920 1.498810 0.926242 1.099371 1.115382 1.284736 1.020655 1.043270 1.006363 0.928239 0.447726 1.510859 1.954208 1.042647 3.736083 0.945583 0.998129 0.318314 0.644679 0.290313 1.008099 1.190674 6.422332 0.377003 1.024035 0.214683 43.958354 1.983901 1.317666 2.256726 0.886946 0.915762 1.084247 0.952841 3.293658 2.990117 1.045850 0.608198 1.390414 3.586730 15.627236 273.140791 0.989556 0.960594 0.914673 4.266538 0.000000 1.425797 3.789661 1.232645 0.263257 2.416146 58.191781 15.608106 -1593083.026658 5.821092
1.460000e+003 924122.898548 16953.877278 459455.259907 4009.601658 2512.473053 23525082.552315 140730.841687 182547.934451 330682.739650 19239.150036 225233.869104 737864.646778 430689.634107 15530.907661 28211.131199 59748.032255 45487.167932 3615677.974517 244244.519613 52870.629113 88064.926877 22791.352662 81812.814869 82606.652546 440278.459362 387403.836661 1038201.321791 1206476.471542 1363989.422180 412606.164367 70249.463794 3914.444803 39632.397817 367527.589432 37046.359418 112748.683739 57924.836068 82203.709353 5802.995788 965.235093 812262.439271 479329.799231 34543.766022 628.594529 67601.433980 193.952198 656.874875 2551.484267 1579.798897 3598490.800496 4241731.109408 1191.087546 5.322862 536759.249057 1032.655592 159800.426701 1005682.149999 1441817.771775 142086.251509 35912.356263 91399.006824 20707.976865 277106.296079 40605.911854 83988.792926 322554.844807 370006.986635 80352.075713 744202.877082 15457128.867217 68817170.018680 169970.018979 32836367.201799 66274787.023751 41192688.357387 808486.792455 15025611.441343 5997392.457072 11884199.071405 14487730.384031 2867036.330944 293.343181 0.000000 4737542.096671 17129819.848708 1190339177.737587 0.992430 0.847958 4.222934 0.927703 0.846520 0.702346 0.878523 0.836427 0.925522 0.933934 1.534549 17.606512 0.974778 0.878796 0.925501 0.974110 0.769095 0.934673 0.902396 0.945661 0.847483 0.960701 0.851410 0.495185 2.085382 0.995897 2.680007 2.272573 6.994174 2.062461 3.902765 1.779590 0.694815 0.977498 0.760431 0.927742 1.030358 1.612295 0.982074 1.180446 1.177221 1.627973 1.068559 1.080367 1.074730 0.953050 0.451694 1.594597 2.166589 12.390239 4.510529 0.991822 1.002635 0.278304 0.619637 0.251333 1.015822 1.197418 6.458236 0.277734 1.076090 0.224319 41.079770 1.849167 0.912021 3.044007 0.880876 0.891660 1.052618 0.853253 3.535894 4.227556 1.039127 0.530040 1.449640 4.880090 18.423827 181.268669 0.885653 0.951227 0.899179 1.926016 0.000000 1.555274 5.623499 1.329882 0.217018 2.970525 58.109589 15.725386 -1485860.354862 7.091101
1.825000e+003 949934.541183 16889.155392 571593.157698 4064.522608 2516.984907 22074990.992729 138735.683746 182371.854406 333688.837045 19235.298707 299008.123845 1735101.869087 429179.151649 15743.629366 28160.804162 60997.731517 45100.561047 3750216.147381 240182.978523 54103.790687 87997.684087 22626.239311 81094.672743 65764.263439 527450.586306 403995.037377 1319900.326844 1583497.669009 1681602.407083 470241.150761 70018.276162 4079.302717 37365.726020 368775.260253 35729.223645 118402.159092 60105.945484 87109.787427 6128.520898 1022.170159 855696.855404 562897.114826 35947.052287 651.396180 72664.598829 197.651674 666.205488 2674.991441 1759.367467 5660114.307469 1071595.285420 1300.714543 5.397020 484915.315134 1029.829649 142850.201240 1014639.053862 1439045.208636 143572.099557 26830.950743 96719.027279 18697.141874 581765.257961 38070.905211 67098.630303 437200.390568 375518.405196 78383.949910 715735.718770 13923920.568337 73932926.386927 228879.638425 32449677.710403 57344319.992663 41715683.004999 917288.144476 17801400.652622 4008211.426053 11020582.308614 14315578.241194 2842633.518398 145.646244 0.000000 5041165.933629 20237560.494140 1282994832.193085 1.020150 0.844721 5.253613 0.940410 0.848040 0.659053 0.866068 0.835620 0.933936 0.933747 2.037183 41.402026 0.971360 0.890833 0.923850 0.994485 0.762558 0.969451 0.887390 0.967717 0.846836 0.953741 0.843937 0.394223 2.498274 1.038548 3.407183 2.982747 8.622809 2.350556 3.889921 1.854538 0.655077 0.980817 0.733395 0.974261 1.069155 1.708519 1.037165 1.250076 1.240171 1.911797 1.111967 1.119556 1.155225 0.971228 0.458110 1.671785 2.412855 19.488773 1.139502 1.083109 1.016604 0.251423 0.617942 0.224674 1.024869 1.195116 6.525772 0.207501 1.138725 0.202536 86.244100 1.733724 0.728614 4.125937 0.893997 0.869820 1.012354 0.768618 3.798746 5.692778 1.026890 0.458618 1.468045 5.536823 21.827393 121.146507 0.821293 0.939924 0.891525 0.956276 0.000000 1.654950 6.643730 1.433399 0.192282 3.416443 58.068493 15.661054 -1388154.696770 8.258170
2.190000e+003 977053.652977 16840.620562 685149.092140 4120.582963 2521.556998 20669863.383934 136820.058535 182245.855462 337027.300047 19248.899240 371897.417583 2693269.634718 427866.352931 15996.548983 28085.068729 61930.615586 44908.684186 3911986.108252 236078.237898 55763.057050 87942.533468 22468.710462 80716.580250 49587.601495 592894.442405 422878.221691 1635112.137661 2004130.887291 1989871.508062 494371.260669 73150.101356 4233.114420 36361.121782 370554.415611 34569.420629 126249.723279 62484.463178 92020.687776 6458.703967 1071.543007 899384.404706 628758.810407 37325.034283 674.941640 78789.446809 200.618597 676.955421 2801.046930 1911.445676 5688748.673704 866782.921510 1390.997857 5.588857 438763.566439 1065.875726 129201.108180 1023081.636102 1599370.820195 143691.566885 20329.913296 103628.754306 18124.222757 693268.174823 35868.967538 97479.983996 591637.450105 376069.248710 76306.189088 684102.340423 12690682.996815 80010924.717052 294055.527968 31927372.994604 49227630.445198 41540905.298274 936658.443638 19201763.887399 3678440.331050 10384877.065839 14119666.797499 2835944.771016 143.688757 0.000000 5421142.979277 21598014.452690 1366816311.989687 1.049273 0.842293 6.297326 0.953381 0.849581 0.617103 0.854109 0.835043 0.943279 0.934407 2.533788 64.265287 0.968388 0.905144 0.921366 1.009694 0.759314 1.011270 0.872225 0.997396 0.846305 0.947101 0.840002 0.297252 2.808249 1.087091 4.220869 3.775070 10.203531 2.471173 4.063912 1.924464 0.637465 0.985549 0.709588 1.038834 1.111464 1.804839 1.093044 1.310457 1.303488 2.135486 1.154593 1.160024 1.252598 0.985807 0.465502 1.750566 2.621420 19.587366 0.921711 1.158288 1.052739 0.227494 0.639571 0.203207 1.033396 1.328265 6.531202 0.157224 1.220077 0.196330 102.773909 1.633449 1.058520 5.583387 0.895308 0.846763 0.967611 0.700541 4.111040 7.313856 1.010362 0.393704 1.461895 5.653744 23.544465 111.179314 0.773918 0.927061 0.889428 0.943423 0.000000 1.779691 7.090349 1.527047 0.183045 3.753126 58.013699 15.629238 -1293373.996080 8.860879
2.555000e+003 1005564.388705 16802.654065 799574.115833 4178.275846 2525.950914 19273069.382100 135076.174484 182140.911258 340695.138274 19281.595089 437260.315740 3661250.387789 426910.149855 16348.044532 28002.214351 62970.714487 44922.978575 4038343.825036 232023.118083 58422.334875 87532.834917 22198.100293 79657.344828 33276.645229 632666.140756 441819.554212 1979399.349341 2443347.945440 2332063.375700 489587.990380 85633.607842 4363.054631 33903.313501 371147.089757 33375.653878 137551.375420 64636.891251 96363.171696 6746.434872 1120.645056 945378.553403 684669.975350 38654.519563 699.225098 85236.716079 203.751294 690.705071 2912.572099 2056.872600 5609909.493576 857564.873869 1448.499054 6.009081 407331.004291 1115.561153 121319.804659 1032121.050168 1451368.968415 143351.769750 15516.944216 111697.240741 17947.156236 727086.999216 33936.097349 47559.024729 815756.277399 383624.254230 74670.311703 651355.240823 11777594.733144 87992139.451085 368413.376349 31228676.889023 41945594.716690 40139480.623461 932685.132034 19140158.710021 3408764.657955 9744323.377130 13948294.803064 2841761.892679 142.583048 0.000000 6038283.680257 23596512.200810 1419452380.406903 1.079892 0.840394 7.349027 0.966729 0.851061 0.575401 0.843223 0.834562 0.953545 0.935995 2.979114 87.362699 0.966224 0.925033 0.918648 1.026652 0.759556 1.043934 0.857242 1.044960 0.842362 0.935694 0.828979 0.199477 2.996628 1.135783 5.109611 4.602399 11.958199 2.447263 4.757443 1.983537 0.594376 0.987125 0.685085 1.131829 1.149751 1.890010 1.141738 1.370507 1.370148 2.325380 1.195719 1.201760 1.355097 1.001201 0.474957 1.820265 2.820863 19.315908 0.911909 1.206170 1.131894 0.211197 0.669384 0.190811 1.042527 1.205350 6.515757 0.120003 1.315072 0.194412 107.787399 1.545428 0.516436 7.698435 0.913295 0.828610 0.921292 0.650138 4.521123 9.163312 0.988251 0.335465 1.412576 5.629761 23.468927 103.028480 0.726182 0.915809 0.891252 0.936163 0.000000 1.982291 7.746430 1.585854 0.179096 4.032156 57.904110 15.591924 -1198987.578953 8.957636
2.920000e+003 1034832.653791 16776.303771 926966.190696 4246.308714 2529.330620 17723459.948904 133541.046942 182051.960834 344675.044812 19332.754176 495463.548396 4604579.289103 425811.182009 16755.625650 27913.650828 63760.426781 45008.020418 4224278.937483 228031.605745 61599.106865 87427.792274 21951.600672 78755.864407 18805.903980 626253.573444 464945.834511 2339387.869489 2879647.092443 2583018.667591 451934.516392 107395.243164 4496.863977 29121.029713 371668.169380 32417.379483 150150.758945 66733.520902 100482.117856 7025.305918 1168.010123 993156.040836 734821.672617 39970.098358 724.003368 92133.313773 206.183001 708.603512 3024.804083 2195.717804 5520720.551762 853381.969086 1483.196203 6.854785 386694.779075 1163.488879 118481.767181 1043791.349951 1473441.555948 143254.620084 11860.198124 121379.048353 17893.986403 472403.667002 32208.114696 49025.184583 1153743.578192 412252.344133 73530.212298 620345.074572 11383487.586017 93450875.539253 438987.516732 30324872.206934 35533676.963440 38515321.142097 934227.224172 19510901.928613 3487340.323286 9261798.465460 13798096.928948 2840049.447732 141.708365 0.000000 6603450.919251 25261028.058068 1494412388.753419 1.111323 0.839077 8.519910 0.982470 0.852200 0.529137 0.833640 0.834154 0.964684 0.938478 3.375661 109.871884 0.963737 0.948095 0.915742 1.039527 0.760993 1.091999 0.842495 1.101781 0.841351 0.925304 0.819597 0.112732 2.966255 1.195233 6.038883 5.424231 13.245031 2.259048 5.966428 2.044370 0.510535 0.988511 0.665415 1.235501 1.187045 1.970796 1.188933 1.428432 1.439393 2.495713 1.236414 1.244347 1.464739 1.013150 0.487265 1.890407 3.011280 19.008815 0.907461 1.235062 1.291194 0.200497 0.698143 0.186348 1.054315 1.223682 6.511342 0.091723 1.429061 0.193836 70.031733 1.466736 0.532357 10.888081 0.981450 0.815958 0.877431 0.628383 4.801598 10.918658 0.959649 0.284185 1.355419 5.639069 23.923518 105.403397 0.690222 0.905947 0.890715 0.930421 0.000000 2.167828 8.292869 1.669601 0.174982 4.056662 57.794521 15.541536 -1094487.394259 9.849474
3.285000e+003 1064582.159541 16761.113581 1043445.389051 4322.508171 2530.146532 15802880.709711 131728.420901 181882.622860 348951.595348 19400.204907 549951.477323 5583631.679653 424677.261428 17214.716842 27859.988653 64683.758946 45081.972895 4416833.063842 224133.262122 65317.395689 88140.356879 21728.076451 76262.993168 4093.861940 510881.930378 491964.688122 2597895.816367 3283352.240073 2452796.223900 345691.852292 146036.315460 4624.421207 21247.310155 370795.365160 31719.192504 161890.903132 68457.420880 104187.102873 7200.041551 1212.669342 1044076.329822 782678.178517 41197.295506 748.813457 98839.380125 207.048502 729.684190 3114.226353 2296.985758 5429299.364652 1038155.132476 1508.159706 8.344865 374847.144264 1209.602434 119379.789538 1059304.731851 1475418.177644 143137.475351 9095.541813 132905.737991 17876.822738 677618.619068 30632.017428 69080.954133 1682850.440490 452386.935002 72072.817688 592793.149765 11372367.070181 98416737.845970 493727.771731 29284235.194686 29994298.937270 37206146.330397 929216.520975 19885690.298896 6142989.102671 8847756.005145 13684167.485885 2860157.884260 203.434507 0.000000 7357981.229455 28207938.692046 1520012556.610354 1.143272 0.838317 9.590490 1.000101 0.852475 0.471798 0.822324 0.833378 0.976653 0.941752 3.746894 133.233482 0.961171 0.974072 0.913982 1.054581 0.762244 1.141776 0.828092 1.168288 0.848209 0.915882 0.793654 0.024541 2.419796 1.264691 6.706194 6.184668 12.577285 1.727981 8.113164 2.102360 0.372497 0.986189 0.651083 1.332104 1.217710 2.043464 1.218504 1.483049 1.513192 2.658250 1.274375 1.286988 1.571352 1.017403 0.501761 1.946293 3.150162 18.694036 1.103943 1.255849 1.571872 0.194354 0.725813 0.187760 1.069985 1.225323 6.506017 0.070342 1.564771 0.193650 100.453932 1.394962 0.750139 15.881356 1.076998 0.799786 0.838461 0.627769 5.056749 12.280177 0.926718 0.239883 1.309347 5.608824 24.383069 185.669266 0.659366 0.898467 0.897021 1.335698 0.000000 2.415530 9.260302 1.698202 0.163475 3.495792 57.698630 15.485684 -965512.965985 10.377975
